Ss = 1.25,
T,Sa
0,0.333333333
0.05,0.541666667
0.1,0.75
0.12,0.833333333
0.15,0.833333333
0.2,0.833333333
0.25,0.833333333
0.3,0.833333333
0.35,0.833333333
0.4,0.833333333
0.45,0.833333333
0.5,0.833333333
0.55,0.833333333
0.57,0.833333333
0.581,0.833333333
0.6,0.833333333
0.65,0.769230769
0.7,0.714285714
0.75,0.666666667
0.8,0.625
0.85,0.588235294
0.9,0.555555556
0.95,0.526315789
1,0.5
1.05,0.476190476
1.1,0.454545455
1.15,0.434782609
1.2,0.416666667
1.25,0.4
1.3,0.384615385
1.35,0.37037037
1.4,0.357142857
1.45,0.344827586
1.5,0.333333333
1.55,0.322580645
1.6,0.3125
1.65,0.303030303
1.7,0.294117647
1.75,0.285714286
1.8,0.277777778
1.85,0.27027027
1.9,0.263157895
1.95,0.256410256
2,0.25
