Ss = 3,
T,Sa
0,0.8
0.05,1.3
0.1,1.8
0.12,2
0.15,2
0.2,2
0.25,2
0.3,2
0.35,2
0.4,2
0.45,2
0.5,2
0.55,2
0.57,2
0.581,2
0.6,2
0.65,1.846153846
0.7,1.714285714
0.75,1.6
0.8,1.5
0.85,1.411764706
0.9,1.333333333
0.95,1.263157895
1,1.2
1.05,1.142857143
1.1,1.090909091
1.15,1.043478261
1.2,1
1.25,0.96
1.3,0.923076923
1.35,0.888888889
1.4,0.857142857
1.45,0.827586207
1.5,0.8
1.55,0.774193548
1.6,0.75
1.65,0.727272727
1.7,0.705882353
1.75,0.685714286
1.8,0.666666667
1.85,0.648648649
1.9,0.631578947
1.95,0.615384615
2,0.6
