Ss = 1.0,
T,Sa
0,0.293333333
0.05,0.482395833
0.1,0.671458333
0.12,0.733333333
0.15,0.733333333
0.2,0.733333333
0.25,0.733333333
0.3,0.733333333
0.35,0.733333333
0.4,0.733333333
0.45,0.733333333
0.5,0.733333333
0.55,0.733333333
0.57,0.733333333
0.581,0.733333333
0.6,0.711111111
0.65,0.656410256
0.7,0.60952381
0.75,0.568888889
0.8,0.533333333
0.85,0.501960784
0.9,0.474074074
0.95,0.449122807
1,0.426666667
1.05,0.406349206
1.1,0.387878788
1.15,0.371014493
1.2,0.355555556
1.25,0.341333333
1.3,0.328205128
1.35,0.316049383
1.4,0.304761905
1.45,0.294252874
1.5,0.284444444
1.55,0.275268817
1.6,0.266666667
1.65,0.258585859
1.7,0.250980392
1.75,0.243809524
1.8,0.237037037
1.85,0.230630631
1.9,0.224561404
1.95,0.218803419
2,0.213333333
