Ss = 0.25,
T,Sa
0,0.106666667
0.05,0.173333333
0.1,0.24
0.12,0.266666667
0.15,0.266666667
0.2,0.266666667
0.25,0.266666667
0.3,0.266666667
0.35,0.266666667
0.4,0.266666667
0.45,0.266666667
0.5,0.266666667
0.55,0.266666667
0.6,0.266666667
0.65,0.246153846
0.7,0.228571429
0.75,0.213333333
0.8,0.2
0.85,0.188235294
0.9,0.177777778
0.95,0.168421053
1,0.16
1.05,0.152380952
1.1,0.145454545
1.15,0.139130435
1.2,0.133333333
1.25,0.128
1.3,0.123076923
1.35,0.118518519
1.4,0.114285714
1.45,0.110344828
1.5,0.106666667
1.55,0.103225806
1.6,0.1
1.65,0.096969697
1.7,0.094117647
1.75,0.091428571
1.8,0.088888889
1.85,0.086486486
1.9,0.084210526
1.95,0.082051282
2,0.08
