Ss = 0.5,
T,Sa
0,0.186666667
0.05,0.309166667
0.1,0.431666667
0.12,0.466666667
0.15,0.466666667
0.2,0.466666667
0.25,0.466666667
0.3,0.466666667
0.35,0.466666667
0.4,0.466666667
0.45,0.466666667
0.5,0.466666667
0.55,0.466666667
0.57,0.466666667
0.6,0.444444444
0.65,0.41025641
0.7,0.380952381
0.75,0.355555556
0.8,0.333333333
0.85,0.31372549
0.9,0.296296296
0.95,0.280701754
1,0.266666667
1.05,0.253968254
1.1,0.242424242
1.15,0.231884058
1.2,0.222222222
1.25,0.213333333
1.3,0.205128205
1.35,0.197530864
1.4,0.19047619
1.45,0.183908046
1.5,0.177777778
1.55,0.172043011
1.6,0.166666667
1.65,0.161616162
1.7,0.156862745
1.75,0.152380952
1.8,0.148148148
1.85,0.144144144
1.9,0.140350877
1.95,0.136752137
2,0.133333333
